 7.5197

    7.3126

    7.7899

    7.3765

    7.9345

    7.4955

    7.6261

    7.5358

    7.7311

    7.6261

    7.8544

Training Started
Training on single GPU.
|=========================================================================================|
|     Epoch    |   Iteration  | Time Elapsed |  Mini-batch  |  Mini-batch  | Base Learning|
|              |              |  (seconds)   |     Loss     |   Accuracy   |     Rate     |
|=========================================================================================|
|            1 |            1 |         0.12 |       2.3978 |       10.00% |       0.0100 |
|           50 |           50 |         0.85 |       2.3698 |       10.00% |       0.0100 |
|          100 |          100 |         1.60 |       2.3510 |       10.00% |       0.0100 |
|          150 |          150 |         2.37 |       2.3399 |       10.00% |       0.0100 |
|          200 |          200 |         3.12 |       2.3325 |       10.00% |       0.0100 |
|          250 |          250 |         3.87 |       2.3271 |       10.00% |       0.0100 |
|          300 |          300 |         4.63 |       2.3230 |       10.00% |       0.0100 |
|          350 |          350 |         5.38 |       2.3198 |       10.00% |       0.0100 |
|          400 |          400 |         6.13 |       2.3172 |       10.00% |       0.0100 |
|          450 |          450 |         6.89 |       2.3151 |       10.00% |       0.0100 |
|          500 |          500 |         7.63 |       2.3133 |       10.00% |       0.0100 |
|          550 |          550 |         8.38 |       2.3119 |       10.00% |       0.0100 |
|          600 |          600 |         9.14 |       2.3106 |       10.00% |       0.0100 |
|          650 |          650 |         9.88 |       2.3096 |       10.00% |       0.0100 |
|          700 |          700 |        10.64 |       2.3086 |       10.00% |       0.0100 |
|          750 |          750 |        11.39 |       2.3079 |       10.00% |       0.0100 |
|          800 |          800 |        12.15 |       2.3072 |       10.00% |       0.0100 |
|          850 |          850 |        12.89 |       2.3066 |       10.00% |       0.0100 |
|          900 |          900 |        13.64 |       2.3060 |       10.00% |       0.0100 |
|          950 |          950 |        14.39 |       2.3056 |       10.00% |       0.0100 |
|         1000 |         1000 |        15.14 |       2.3051 |       10.00% |       0.0100 |
|         1050 |         1050 |        15.89 |       2.3048 |       10.00% |       0.0100 |
|         1100 |         1100 |        16.64 |       2.3044 |       10.00% |       0.0100 |
|         1150 |         1150 |        17.39 |       2.3041 |       10.00% |       0.0100 |
|         1200 |         1200 |        18.13 |       2.3038 |       10.00% |       0.0100 |
|         1250 |         1250 |        18.87 |       2.3035 |       10.00% |       0.0100 |
|         1300 |         1300 |        19.61 |       2.3032 |       10.00% |       0.0100 |
|         1350 |         1350 |        20.36 |       2.3030 |       10.00% |       0.0100 |
|         1400 |         1400 |        21.12 |       2.3027 |       10.00% |       0.0100 |
|         1450 |         1450 |        21.87 |       2.3025 |       10.00% |       0.0100 |
|         1500 |         1500 |        22.62 |       2.3023 |       10.00% |       0.0100 |
|         1550 |         1550 |        23.38 |       2.3020 |       10.00% |       0.0100 |
|         1600 |         1600 |        24.13 |       2.3018 |       10.00% |       0.0100 |
|         1650 |         1650 |        24.87 |       2.3016 |       10.00% |       0.0100 |
|         1700 |         1700 |        25.62 |       2.3014 |       10.00% |       0.0100 |
|         1750 |         1750 |        26.37 |       2.3011 |       10.00% |       0.0100 |
|         1800 |         1800 |        27.13 |       2.3009 |       10.00% |       0.0100 |
|         1850 |         1850 |        27.87 |       2.3007 |       10.00% |       0.0100 |
|         1900 |         1900 |        28.62 |       2.3004 |       10.00% |       0.0100 |
|         1950 |         1950 |        29.37 |       2.3002 |       10.00% |       0.0100 |
|         2000 |         2000 |        30.12 |       2.2999 |       10.00% |       0.0100 |
|         2050 |         2050 |        30.86 |       2.2997 |       10.00% |       0.0100 |
|         2100 |         2100 |        31.61 |       2.2994 |       10.00% |       0.0100 |
|         2150 |         2150 |        32.35 |       2.2992 |       10.00% |       0.0100 |
|         2200 |         2200 |        33.10 |       2.2989 |       10.00% |       0.0100 |
|         2250 |         2250 |        33.84 |       2.2986 |       10.00% |       0.0100 |
|         2300 |         2300 |        34.64 |       2.2983 |       10.00% |       0.0100 |
|         2350 |         2350 |        35.41 |       2.2981 |       10.00% |       0.0100 |
|         2400 |         2400 |        36.18 |       2.2978 |       10.00% |       0.0100 |
|         2450 |         2450 |        36.95 |       2.2975 |       10.00% |       0.0100 |
|         2500 |         2500 |        37.70 |       2.2972 |       10.00% |       0.0100 |
|         2550 |         2550 |        38.46 |       2.2969 |       10.00% |       0.0100 |
|         2600 |         2600 |        39.22 |       2.2967 |       10.00% |       0.0100 |
|         2650 |         2650 |        39.98 |       2.2964 |       10.00% |       0.0100 |
|         2700 |         2700 |        40.74 |       2.2961 |       10.00% |       0.0100 |
|         2750 |         2750 |        41.51 |       2.2958 |       10.00% |       0.0100 |
|         2800 |         2800 |        42.28 |       2.2955 |       10.00% |       0.0100 |
|         2850 |         2850 |        43.05 |       2.2952 |       10.00% |       0.0100 |
|         2900 |         2900 |        43.83 |       2.2949 |       10.00% |       0.0100 |
|         2950 |         2950 |        44.59 |       2.2945 |       10.00% |       0.0100 |
|         3000 |         3000 |        45.36 |       2.2942 |       10.00% |       0.0100 |
|         3050 |         3050 |        46.12 |       2.2939 |       10.00% |       0.0100 |
|         3100 |         3100 |        46.92 |       2.2936 |       10.00% |       0.0100 |
|         3150 |         3150 |        47.67 |       2.2932 |       20.00% |       0.0100 |
|         3200 |         3200 |        48.43 |       2.2929 |       20.00% |       0.0100 |
|         3250 |         3250 |        49.18 |       2.2925 |       20.00% |       0.0100 |
|         3300 |         3300 |        49.94 |       2.2922 |       20.00% |       0.0100 |
|         3350 |         3350 |        50.70 |       2.2918 |       20.00% |       0.0100 |
|         3400 |         3400 |        51.47 |       2.2915 |       30.00% |       0.0100 |
|         3450 |         3450 |        52.22 |       2.2911 |       30.00% |       0.0100 |
|         3500 |         3500 |        52.98 |       2.2907 |       30.00% |       0.0100 |
|         3550 |         3550 |        53.73 |       2.2903 |       30.00% |       0.0100 |
|         3600 |         3600 |        54.50 |       2.2899 |       20.00% |       0.0100 |
|         3650 |         3650 |        55.25 |       2.2895 |       20.00% |       0.0100 |
|         3700 |         3700 |        56.00 |       2.2891 |       20.00% |       0.0100 |
|         3750 |         3750 |        56.77 |       2.2886 |       20.00% |       0.0100 |
|         3800 |         3800 |        57.53 |       2.2882 |       20.00% |       0.0100 |
|         3850 |         3850 |        58.28 |       2.2877 |       20.00% |       0.0100 |
|         3900 |         3900 |        59.03 |       2.2873 |       20.00% |       0.0100 |
|         3950 |         3950 |        59.78 |       2.2868 |       20.00% |       0.0100 |
|         4000 |         4000 |        60.52 |       2.2863 |       20.00% |       0.0100 |
|         4050 |         4050 |        61.28 |       2.2857 |       20.00% |       0.0100 |
|         4100 |         4100 |        62.03 |       2.2852 |       20.00% |       0.0100 |
|         4150 |         4150 |        62.78 |       2.2846 |       20.00% |       0.0100 |
|         4200 |         4200 |        63.54 |       2.2840 |       20.00% |       0.0100 |
|         4250 |         4250 |        64.28 |       2.2834 |       20.00% |       0.0100 |
|         4300 |         4300 |        65.03 |       2.2828 |       20.00% |       0.0100 |
|         4350 |         4350 |        65.78 |       2.2822 |       20.00% |       0.0100 |
|         4400 |         4400 |        66.53 |       2.2815 |       20.00% |       0.0100 |
|         4450 |         4450 |        67.30 |       2.2808 |       20.00% |       0.0100 |
|         4500 |         4500 |        68.07 |       2.2800 |       20.00% |       0.0100 |
|         4550 |         4550 |        68.82 |       2.2793 |       20.00% |       0.0100 |
|         4600 |         4600 |        69.58 |       2.2784 |       20.00% |       0.0100 |
|         4650 |         4650 |        70.34 |       2.2776 |       20.00% |       0.0100 |
|         4700 |         4700 |        71.10 |       2.2767 |       20.00% |       0.0100 |
|         4750 |         4750 |        71.84 |       2.2758 |       20.00% |       0.0100 |
|         4800 |         4800 |        72.60 |       2.2748 |       20.00% |       0.0100 |
|         4850 |         4850 |        73.37 |       2.2738 |       20.00% |       0.0100 |
|         4900 |         4900 |        74.13 |       2.2727 |       20.00% |       0.0100 |
|         4950 |         4950 |        74.88 |       2.2715 |       20.00% |       0.0100 |
|         5000 |         5000 |        75.64 |       2.2703 |       20.00% |       0.0100 |
|         5050 |         5050 |        76.40 |       2.2691 |       20.00% |       0.0100 |
|         5100 |         5100 |        77.17 |       2.2677 |       20.00% |       0.0100 |
|         5150 |         5150 |        77.92 |       2.2663 |       20.00% |       0.0100 |
|         5200 |         5200 |        78.68 |       2.2648 |       20.00% |       0.0100 |
|         5250 |         5250 |        79.44 |       2.2632 |       20.00% |       0.0100 |
|         5300 |         5300 |        80.20 |       2.2615 |       20.00% |       0.0100 |
|         5350 |         5350 |        80.98 |       2.2597 |       20.00% |       0.0100 |
|         5400 |         5400 |        81.74 |       2.2578 |       20.00% |       0.0100 |
|         5450 |         5450 |        82.51 |       2.2558 |       20.00% |       0.0100 |
|         5500 |         5500 |        83.26 |       2.2537 |       20.00% |       0.0100 |
|         5550 |         5550 |        84.02 |       2.2514 |       20.00% |       0.0100 |
|         5600 |         5600 |        84.82 |       2.2490 |       20.00% |       0.0100 |
|         5650 |         5650 |        85.60 |       2.2464 |       20.00% |       0.0100 |
|         5700 |         5700 |        86.38 |       2.2437 |       20.00% |       0.0100 |
|         5750 |         5750 |        87.16 |       2.2408 |       20.00% |       0.0100 |
|         5800 |         5800 |        87.93 |       2.2378 |       20.00% |       0.0100 |
|         5850 |         5850 |        88.71 |       2.2345 |       20.00% |       0.0100 |
|         5900 |         5900 |        89.48 |       2.2311 |       20.00% |       0.0100 |
|         5950 |         5950 |        90.25 |       2.2274 |       20.00% |       0.0100 |
|         6000 |         6000 |        91.02 |       2.2235 |       20.00% |       0.0100 |
|         6050 |         6050 |        91.79 |       2.2194 |       20.00% |       0.0100 |
|         6100 |         6100 |        92.55 |       2.2150 |       20.00% |       0.0100 |
|         6150 |         6150 |        93.31 |       2.2104 |       20.00% |       0.0100 |
|         6200 |         6200 |        94.07 |       2.2056 |       20.00% |       0.0100 |
|         6250 |         6250 |        94.83 |       2.2004 |       20.00% |       0.0100 |
|         6300 |         6300 |        95.59 |       2.1950 |       20.00% |       0.0100 |
|         6350 |         6350 |        96.36 |       2.1893 |       20.00% |       0.0100 |
|         6400 |         6400 |        97.13 |       2.1834 |       20.00% |       0.0100 |
|         6450 |         6450 |        97.90 |       2.1771 |       20.00% |       0.0100 |
|         6500 |         6500 |        98.66 |       2.1705 |       20.00% |       0.0100 |
|         6550 |         6550 |        99.42 |       2.1636 |       20.00% |       0.0100 |
|         6600 |         6600 |       100.19 |       2.1564 |       20.00% |       0.0100 |
|         6650 |         6650 |       100.96 |       2.1489 |       20.00% |       0.0100 |
|         6700 |         6700 |       101.71 |       2.1411 |       20.00% |       0.0100 |
|         6750 |         6750 |       102.49 |       2.1330 |       20.00% |       0.0100 |
|         6800 |         6800 |       103.27 |       2.1246 |       20.00% |       0.0100 |
|         6850 |         6850 |       104.04 |       2.1159 |       20.00% |       0.0100 |
|         6900 |         6900 |       104.82 |       2.1069 |       20.00% |       0.0100 |
|         6950 |         6950 |       105.59 |       2.0976 |       20.00% |       0.0100 |
|         7000 |         7000 |       106.35 |       2.0881 |       20.00% |       0.0100 |
|         7050 |         7050 |       107.12 |       2.0783 |       20.00% |       0.0100 |
|         7100 |         7100 |       107.88 |       2.0682 |       20.00% |       0.0100 |
|         7150 |         7150 |       108.64 |       2.0580 |       20.00% |       0.0100 |
|         7200 |         7200 |       109.40 |       2.0475 |       20.00% |       0.0100 |
|         7250 |         7250 |       110.17 |       2.0368 |       20.00% |       0.0100 |
|         7300 |         7300 |       110.94 |       2.0260 |       20.00% |       0.0100 |
|         7350 |         7350 |       111.70 |       2.0150 |       20.00% |       0.0100 |
|         7400 |         7400 |       112.47 |       2.0039 |       20.00% |       0.0100 |
|         7450 |         7450 |       113.24 |       1.9927 |       20.00% |       0.0100 |
|         7500 |         7500 |       114.01 |       1.9814 |       20.00% |       0.0100 |
|         7550 |         7550 |       114.78 |       1.9700 |       20.00% |       0.0100 |
|         7600 |         7600 |       115.56 |       1.9585 |       20.00% |       0.0100 |
|         7650 |         7650 |       116.32 |       1.9470 |       20.00% |       0.0100 |
|         7700 |         7700 |       117.09 |       1.9355 |       20.00% |       0.0100 |
|         7750 |         7750 |       117.86 |       1.9240 |       20.00% |       0.0100 |
|         7800 |         7800 |       118.62 |       1.9125 |       20.00% |       0.0100 |
|         7850 |         7850 |       119.40 |       1.9011 |       20.00% |       0.0100 |
|         7900 |         7900 |       120.17 |       1.8896 |       30.00% |       0.0100 |
|         7950 |         7950 |       120.94 |       1.8783 |       30.00% |       0.0100 |
